MEDIC ȘEF SECȚIE,http://posturi.gov.ro/anunt/medic-sef-sectie-2/,"Spitalul Municipal Oltenița, județul Călărași","Funcție contractuală, Instituții locale, Funcții de conducere","Publicat în: 17 septembrie,2023",Expiră in  5/10/2023,Călăraşi,http://posturi.gov.ro/?judet=Călăraşi,Temporar
inspector de specialitate (inginer – administrator) gradul 1,http://posturi.gov.ro/anunt/inspector-de-specialitate-inginer-administrator-gradul-1/,CURTEA DE APEL BACĂU,"Funcție contractuală, Instituții locale, Funcții de execuție","Publicat în: 15 septembrie,2023",Expiră in  29/09/2023,Bacău,http://posturi.gov.ro/?judet=Bacău,Permanent
Administrator de Patrimoniu,http://posturi.gov.ro/anunt/administrator-de-patrimoniu-38/,Școala Gimnaziala Chinteni,"Funcție contractuală, Instituții locale, Funcții de execuție","Publicat în: 15 septembrie,2023",Expiră in  29/09/2023,Cluj,http://posturi.gov.ro/?judet=Cluj,Permanent
Profesor,http://posturi.gov.ro/anunt/profesor/,Școala Gimnaziala Chinteni,"Funcție contractuală, Instituții locale, Funcții de execuție","Publicat în: 15 septembrie,2023",Expiră in  29/09/2023,Cluj,http://posturi.gov.ro/?judet=Cluj,Temporar
Arhivar,http://posturi.gov.ro/anunt/arhivar-17/,Comuna tortoman ,"Funcție contractuală, Primării, Funcții de execuție","Publicat în: 15 septembrie,2023",Expiră in  27/09/2023,Constanţa,http://posturi.gov.ro/?judet=Constanţa,Permanent
bucătar calificat,http://posturi.gov.ro/anunt/bucatar-calificat-18/,"Grădinița cu Program prelungit ""ZÂNA ZORILOR"" cluj-napoca","Funcție contractuală, Instituții locale, Funcții de execuție","Publicat în: 15 septembrie,2023",Expiră in  29/09/2023,Cluj,http://posturi.gov.ro/?judet=Cluj,Permanent
Administrator patrimoniu,http://posturi.gov.ro/anunt/administrator-patrimoniu-59/,"Liceul tehnologic ""sf. mucenic sava""","Funcție contractuală, Instituții locale, Funcții de execuție","Publicat în: 15 septembrie,2023",Expiră in  29/09/2023,Buzău,http://posturi.gov.ro/?judet=Buzău,Permanent
pompier,http://posturi.gov.ro/anunt/pompier-3/,Ateneul național din iași ,"Funcție contractuală, Instituții locale, Funcții de conducere,Funcții de execuție","Publicat în: 15 septembrie,2023",Expiră in  29/09/2023,Iaşi,http://posturi.gov.ro/?judet=Iaşi,Temporar
Sofer microbuz scolar,http://posturi.gov.ro/anunt/sofer-microbuz-scolar-41/,Comuna  tortoman,"Funcție contractuală, Primării, Funcții de execuție","Publicat în: 15 septembrie,2023",Expiră in  27/09/2023,Constanţa,http://posturi.gov.ro/?judet=Constanţa,Permanent
"Ingrijitor, poz.7",http://posturi.gov.ro/anunt/ingrijitor-poz-7/,Universitatea tehnica „Gheorghe Asachi” din Iasi,"Funcție contractuală, Instituții locale, Funcții de execuție","Publicat în: 15 septembrie,2023",Expiră in  28/09/2023,Iaşi,http://posturi.gov.ro/?judet=Iaşi,Permanent
"îngrijitor- 1 post și supraveghetor de noapte – 1 post,",http://posturi.gov.ro/anunt/ingrijitor-1-post-si-supraveghetor-de-noapte-1-post/,"Liceul Teoretic Teglas Gabor Deva, județul Hunedoara","Funcție contractuală, Instituții locale, Funcții de execuție","Publicat în: 15 septembrie,2023",Expiră in  29/09/2023,Hunedoara,http://posturi.gov.ro/?judet=Hunedoara,Permanent
posturi gradina zoologica,http://posturi.gov.ro/anunt/posturi-gradina-zoologica/,gradina zoologica brasov,"Funcție contractuală, Instituții locale, Funcții de execuție","Publicat în: 15 septembrie,2023",Expiră in  28/09/2023,Braşov,http://posturi.gov.ro/?judet=Braşov,Permanent
INFIRMIER,http://posturi.gov.ro/anunt/infirmier-13/,"Liceul special moldova tg. frumos, jud.Iași","Funcție contractuală, Instituții locale, Funcții de execuție","Publicat în: 15 septembrie,2023",Expiră in  5/10/2023,Iaşi,http://posturi.gov.ro/?judet=Iaşi,Permanent
SECRETAR SEF,http://posturi.gov.ro/anunt/secretar-sef-34/,"ȘCOALA GIMNAZIALĂ „MARIA ROSETTI”, BUCUREȘTI","Alte functii, Instituții locale, Funcții de execuție","Publicat în: 15 septembrie,2023",Expiră in  2/10/2023,Bucureşti,http://posturi.gov.ro/?judet=Bucureşti,Permanent
"bucătar calificat M, post contractual vacant, jumătate de normă, pe perioadă nedeterminată;",http://posturi.gov.ro/anunt/bucatar-calificat-m-post-contractual-vacant-jumatate-de-norma-pe-perioada-nedeterminata/,"Grădinița cu Program Prelungit ,,Căsuța de turtă dulce” Constanța,  județul Constanța","Funcție contractuală, Instituții locale, Funcții de execuție","Publicat în: 15 septembrie,2023",Expiră in  29/09/2023,Constanţa,http://posturi.gov.ro/?judet=Constanţa,Permanent
îngrijitor,http://posturi.gov.ro/anunt/ingrijitor-424/," Școala Gimnazială Orizont ,  București ,  sector 6 ","Funcție contractuală, Instituții locale, Funcții de execuție","Publicat în: 15 septembrie,2023",Expiră in  29/09/2023,Bucureşti,http://posturi.gov.ro/?judet=Bucureşti,Permanent
îngrijtor,http://posturi.gov.ro/anunt/ingrijtor-2/,"LICEUL TEHNOLOGIC ECONOMIC DE TURISM, IAȘI","Funcție contractuală, Instituții locale, Funcții de execuție","Publicat în: 15 septembrie,2023",Expiră in  29/09/2023,Iaşi,http://posturi.gov.ro/?judet=Iaşi,Permanent
Muncitor calificat  I (instalator),http://posturi.gov.ro/anunt/muncitor-calificat-i-instalator/,"Unitatea Administrativ Teritorială Municipiul Drobeta-Turnu Severin, județul Mehedinți","Funcție contractuală, Primării, Funcții de execuție","Publicat în: 15 septembrie,2023",Expiră in  29/09/2023,Mehedinţi,http://posturi.gov.ro/?judet=Mehedinţi,Permanent
muncitor calificat lll-instalator,http://posturi.gov.ro/anunt/muncitor-calificat-lll-instalator/,USAMV CLUJ-NAPOCA,"Funcție contractuală, Instituții naționale, Funcții de execuție","Publicat în: 15 septembrie,2023",Expiră in  29/09/2023,Cluj,http://posturi.gov.ro/?judet=Cluj,Permanent
BUCATAR,http://posturi.gov.ro/anunt/bucatar-46/,SCOALA GIMNAZIALA NR.81,"Funcție contractuală, Instituții naționale, Funcții de execuție","Publicat în: 15 septembrie,2023",Expiră in  28/09/2023,Bucureşti,http://posturi.gov.ro/?judet=Bucureşti,Permanent
consilier Gr. II,http://posturi.gov.ro/anunt/consilier-gr-ii-2/," Primaria Comunei Târgșoru Vechi, județul Prahova ","Funcție contractuală, Primării, Funcții de execuție","Publicat în: 15 septembrie,2023",Expiră in  28/09/2023,Prahova,http://posturi.gov.ro/?judet=Prahova,Permanent
Operator registrator de urgență debutant (2 posturi),http://posturi.gov.ro/anunt/operator-registrator-de-urgenta-debutant-2-posturi/,Serviciul de Ambulanță Județean Teleorman,"Funcție contractuală, Instituții județene, Funcții de execuție","Publicat în: 15 septembrie,2023",Expiră in  29/09/2023,Teleorman,http://posturi.gov.ro/?judet=Teleorman,Permanent
tehnician veterinar debutant (M),http://posturi.gov.ro/anunt/tehnician-veterinar-debutant-m-2/,USAMV CLUJ NAPOCA,"Funcție contractuală, Instituții naționale, Funcții de execuție","Publicat în: 15 septembrie,2023",Expiră in  22/09/2023,Cluj,http://posturi.gov.ro/?judet=Cluj,Temporar
"Psihopedagog,/Psiholog de liberă practică în psihopedagogie specială cu studii S debutant",http://posturi.gov.ro/anunt/psihopedagog-psiholog-de-libera-practica-in-psihopedagogie-speciala-cu-studii-s-debutant/,DGASPC HR,"Funcție contractuală, Instituții județene, Funcții de execuție","Publicat în: 15 septembrie,2023",Expiră in  2/10/2023,Harghita,http://posturi.gov.ro/?judet=Harghita,Permanent
supraveghetor muzeu,http://posturi.gov.ro/anunt/supraveghetor-muzeu-7/,COMPLEXUL NATIONAL MUZEUAL ASTRA,"Funcție contractuală, Instituții naționale, Funcții de execuție","Publicat în: 15 septembrie,2023",Expiră in  28/09/2023,Sibiu,http://posturi.gov.ro/?judet=Sibiu,Permanent
Referent II- Aparare civila si Evidenta militara,http://posturi.gov.ro/anunt/referent-ii-aparare-civila-si-evidenta-militara/,serviciul de ambulanta bucuresti-ilfov,"Funcție contractuală, Instituții județene, Funcții de execuție","Publicat în: 15 septembrie,2023",Expiră in  29/09/2023,Bucureşti,http://posturi.gov.ro/?judet=Bucureşti,Permanent
muncitor hidrometru,http://posturi.gov.ro/anunt/muncitor-hidrometru-2/,Administrația bazinală de apă Argeș vedea,"Funcție contractuală, Instituții regionale, Funcții de execuție","Publicat în: 15 septembrie,2023",Expiră in  29/09/2023,Giurgiu,http://posturi.gov.ro/?judet=Giurgiu,Permanent
paznic,http://posturi.gov.ro/anunt/paznic-99/,"Școala Gimnazială Orizont , București , sector 6 ","Funcție contractuală, Instituții locale, Funcții de execuție","Publicat în: 15 septembrie,2023",Expiră in  29/09/2023,Bucureşti,http://posturi.gov.ro/?judet=Bucureşti,Permanent
"casier, post vacant, pe perioadă nedeterminată",http://posturi.gov.ro/anunt/casier-post-vacant-pe-perioada-nedeterminata/,"Comuna Bănești,  județul Prahova","Funcție contractuală, Instituții locale, Funcții de execuție","Publicat în: 15 septembrie,2023",Expiră in  29/09/2023,Prahova,http://posturi.gov.ro/?judet=Prahova,Permanent
"infirmieră I G, post contractual vacant, normă întreagă, pe perioadă nedeterminată;",http://posturi.gov.ro/anunt/infirmiera-i-g-post-contractual-vacant-norma-intreaga-pe-perioada-nedeterminata/,"Grădinița P.P. ”Căsuța de turtă dulce” Constanța,  județul Const","Funcție contractuală, Instituții locale, Funcții de execuție","Publicat în: 15 septembrie,2023",Expiră in  29/09/2023,Constanţa,http://posturi.gov.ro/?judet=Constanţa,Permanent
îngrijitor 1,http://posturi.gov.ro/anunt/ingrijitor-1-3/,Gradinița cu program prelungit dumbrava minunata pitești,"Funcție contractuală, Instituții locale, Funcții de execuție","Publicat în: 15 septembrie,2023",Expiră in  13/10/2023,Arges,http://posturi.gov.ro/?judet=Arges,Permanent
BIBLIOTECAR,http://posturi.gov.ro/anunt/bibliotecar-48/,"Liceul Tehnologic „Petru Rareș”, Botoșani","Funcție contractuală, Instituții locale, Funcții de execuție","Publicat în: 15 septembrie,2023",Expiră in  29/09/2023,Botoşani,http://posturi.gov.ro/?judet=Botoşani,Temporar
ÎNGRIJITOR 1 M,http://posturi.gov.ro/anunt/ingrijitor-1-m-8/,CENTRUL ȘCOLAR PENTRU EDUCAȚIE INCLUZIVĂ SATU MARE,"Funcție contractuală, Instituții locale, Funcții de execuție","Publicat în: 15 septembrie,2023",Expiră in  26/09/2023,Satu Mare,http://posturi.gov.ro/?judet=Satu Mare,Temporar
PAZNIC IM,http://posturi.gov.ro/anunt/paznic-im/,Liceul Tehnologic „Elena Caragiani”,"Funcție contractuală, Instituții locale, Funcții de execuție","Publicat în: 15 septembrie,2023",Expiră in  29/09/2023,Galaţi,http://posturi.gov.ro/?judet=Galaţi,Permanent
"Secretar S III, post vacant, pe perioadă nedeterminată",http://posturi.gov.ro/anunt/secretar-s-iii-post-vacant-pe-perioada-nedeterminata/,"Liceul Tehnologic “Regele Mihai I”, Săvârșin,  județul Arad","Funcție contractuală, Instituții locale, Funcții de execuție","Publicat în: 15 septembrie,2023",Expiră in  29/09/2023,Arad,http://posturi.gov.ro/?judet=Arad,Permanent
magaziner,http://posturi.gov.ro/anunt/magaziner-21/,USAMV CLUJ NAPOCA,"Funcție contractuală, Instituții naționale, Funcții de execuție","Publicat în: 15 septembrie,2023",Expiră in  29/09/2023,Cluj,http://posturi.gov.ro/?judet=Cluj,Permanent
Referent de specialitate gr.II,http://posturi.gov.ro/anunt/referent-de-specialitate-gr-ii-4/,COMPLEXUL NAȚIONAL MUZEAL ASTRA Sibiu,"Funcție contractuală, Instituții locale, Funcții de execuție","Publicat în: 15 septembrie,2023",Expiră in  29/09/2023,Sibiu,http://posturi.gov.ro/?judet=Sibiu,Permanent
"Analist,programator, inginer de sistem",http://posturi.gov.ro/anunt/analistprogramatoringiner-de-sistem/,"Spitalul Orășenesc Baia de Aramă, județul Mehedinți","Funcție contractuală, Instituții locale, Funcții de execuție","Publicat în: 15 septembrie,2023",Expiră in  29/09/2023,Mehedinţi,http://posturi.gov.ro/?judet=Mehedinţi,Permanent
